Node ID,Node Name,Degree,Text Index
Physical Properties,,2,4
Abstract Concepts,,2,4
Mathematics,,1,4
Fibonacci Sequence,,1,4
Crystalline Structure,,2,4
New Theory Of Graphitic Carbon,,4,4
Principles Of Physics,,1,4
Scientific Research,,1,4
Enigmatic Material,,1,4
Street Protest,,1,5
Noun - Noun Compound Interpretation,,1,5
Tl,,4,5
Mtl,,1,5
Semantic Nlp Tasks,,1,5
Compound Interpretation,,1,5
Multi - Task Learning,,1,5
Generalization,,5,5
Domain - Specific Details,,2,5
Training Data,,6,5
Regularization,,1,5
Infrequent Relations,,6,5
Highly Skewed Dataset,,1,5
Single - Task Learning,,1,5
Accuracy,,1,5
F1 Scores,,1,5
Fares,,1,5
Noun - Noun Compounds,,1,5
Compound Relations,,2,5
Machine Learning Models,,3,5
Features,,3,5
Nearest Neighbor Classifiers,,2,5
Kernel-Based Methods,,1,5
Support Vector Machines,,1,5
Maximum Entropy Models,,1,5
Neural Networks,,1,5
Wisdom Of The Crowd,,1,6
Answering Platforms,,1,6
Research Community,,1,6
Large Groups,,1,6
Individual Inputs,,1,6
Group Psychology,,2,6
Persuasive Arguments,,4,6
Judgments,,1,6
Crowd Wisdom,,1,6
Forecasts,,1,6
Questions,,3,6
Political Domain,,1,6
Economic Domain,,4,6
Social Domain,,6,6
Prediction,,1,6
Justification,,1,6
External Source,,1,6
Prevailing Opinion,,3,6
Verifiable Facts,,1,6
Calling A Question,,1,6
Forecaster,,2,6
Daily,,1,6
Active,,3,6
Accuracy,,1,6
Crowd,,1,6
This Paper,,3,7
Neural Networks,,3,7
Machine Learning Models,,2,7
Input - Output Specifications,,1,7
Safety - Critical Applications,,4,7
Autonomous Vehicles,,1,7
Aircraft Collision Avoidance,,1,7
Satisability Modulo Theory ( Smt ) Solverreluplex,,1,7
Reluplex,,1,7
Acas Xu,,2,7
Abstraction Refinement Optimization,,1,7
Neural Network,,1,7
Safety Property,,1,7
Input_Space_X,,3,7
Output_Space_Y,,1,7
Safe_Predictor,,1,7
Constraint_Pairs,,1,7
Σ,,1,7
C,,1,7
I,,1,7
X,,2,7
B,,2,7
O,,1,7
G,,1,7
W,,2,7
F,,1,7
Relu Networks,,1,8
Neural Restricted Isometryproperty (Neurips),,7,8
Shallow Relu Networks,,3,8
Covering Numbers,,1,8
Sub - Gaussian Metric,,1,8
Chaining Techniques,,1,8
Empirical Risk,,2,8
Generalization Error,,1,8
Supervised Machine Learning,,1,8
Statistical Learning Theory,,1,8
Model Discovery,,1,8
Training Data,,1,8
Model Limitations,,1,8
Vc - Dimension,,8,8
Rademacher Complexity,,1,8
Generalization Error Bounds,,1,8
Classification Problems,,1,8
Regression Problems,,1,8
Neural Networks,,2,8
Risk Surface,,1,8
Generalization,,3,8
Empirical Risk Minimizers,,1,8
Stochastic Processes ' Chaining Theory,,4,8
Compressed Sensing,,2,8
Chaining Theory,,1,8
Neural Restricted Isometry Property,,1,8
This Paper,,1,8
Existing Works,,4,8
Relu,,1,8
Mlb - Youtube Dataset,,2,10
High-Speed Cameras,,1,10
Radar,,1,10
Data,,3,10
Public Domain,,1,10
Mlb-Youtube Dataset,,1,10
Broadcast Baseball Videos,,3,10
Activity Recognition,,1,10
Activity Detection,,4,10
Segmented Videos,,3,10
Continuous Video Streams,,1,10
Computer Vision Research,,1,10
Dense Trajectories,,4,10
Convolutional Neural Networks (Cnns),,1,10
Two-Stream Cnn Architectures,,5,10
Spatial Rgb Frames,,3,10
Opticalflow Frames,,1,10
3D Xyt Convolutional Models,,1,10
Kinetics,,1,10
Thum,,1,10
Os,,1,10
Activitynet,,3,10
Long Short - Term Memory Networks ( Lstms ),,1,10
Max - Pooling Across Entire Videos,,1,10
Swing,,1,10
Hit,,4,10
Ball,,1,10
Strike,,1,10
Foul,,1,10
Denoising Diffusion Probabilistic Models,,2,11
Deep Generative Models,,2,11
Diffusion Models,,3,11
Generative Adversarial Networks,,6,11
Variational Autoencoders,,3,11
Ddpms,,1,11
Sgms,,6,11
Wasserstein Distance,,2,11
Mbacke Et Al. (2023),,3,11
Sgmsemploy,,2,11
Scorefunction,,1,11
Training Samples,,1,11
Langevin Dynamics,,1,11
Real - World Distributions,,1,11
Neural Network,,1,11
Noise Levels,,1,11
Brownian Motion,,1,11
Ornstein - Uhlenbeck Process,,5,11
Vae,,1,11
Wasserstein - Based Upper Bounds,,1,11
Quantitative,,2,11
Simple Proofs,,1,11
Discrete - Time Processes,,1,11
Data - Generating Distribution,,2,11
Learned Score Function,,4,11
Sde Toolkit,,1,11
Convergence Of Sgms,,1,11
Upper Bounds,,1,11
Kullback - Leibler ( Kl ) Divergence,,1,11
Total Variation ( Tv ) Distance,,1,11
Log - Sobolev Inequalities,,1,11
Continuous - Time Processes,,1,11
Diffusion Model,,1,11
Manifold Hypothesis,,2,11
Data-Generating Distribution,,1,11
Score Estimator,,1,11
Optimistic Gradient Method (Ogda),,1,12
Extragradient Method (Eg),,3,12
Generative Adversarial Networks (Gans),,1,12
Adversarial Learning Frameworks,,1,12
Adversarial Example Games,,4,12
Actor-Critic Methods,,1,12
Saddle Point Problems,,1,12
Nonconvex - Nonconcave Min-Max Problems,,1,12
Weak Minty Solutions,,4,12
Monotonicity,,1,12
Extragradient Method,,1,12
Nonconvex - Nonconcave Min - Max Problems,,2,12
Assumption 1,,1,12
Operator Norm,,1,12
Ρ,,1,12
F,,2,12
X,,2,12
Y,,2,12
"∇F(X,Y)",,6,12
L1,,1,12
L2,,1,12
Γ,,1,12
Parkinson'S Disease,,6,13
Levodopa Therapy,,4,13
Gait Impairment,,3,13
On State,,2,13
Off State,,2,13
Received Signal Strength Indicator (Rssi),,3,13
Accelerometer Data,,3,13
Indoor Localization,,3,13
Wearable Devices,,3,13
Smart Home,,1,13
Transformer-Based Method,,3,13
Levodopa,,3,13
Motor Fluctuations,,1,13
Bradykinesia,,1,13
Rigidity,,2,13
Wearing Off,,2,13
Medication Timing,,2,13
Quality Of Life,,1,13
Pd,,4,13
Location,,1,13
Person,,1,13
Social_Participation,,1,13
Quality_Of_Life,,1,13
Urinary_Function,,3,13
Iot_Platform,,2,13
Wearable_Device,,1,13
Access_Point,,1,13
Radio_Map,,1,13
Activity,,3,13
Kitchen,,2,13
Collaborative Filtering,,2,14
Popularity Bias,,11,14
Popularity,,2,14
Accuracy,,1,14
User Preferences,,2,14
Matthew Effect,,2,14
Item Representations,,4,14
Supervised Alignment,,1,14
Contrastive Learning,,1,14
Paac,,6,14
Recommender Systems,,6,14
Information Overload,,1,14
Item Attributes,,1,14
Training Phase,,1,14
Test Set,,1,14
Representation Separation,,2,14
Unpopular Items,,3,14
Generalization Ability,,1,14
Alignment,,1,14
Contrast,,1,14
Supervised Alignment Module,,1,14
Re-Weighting System,,1,14
Representation Space,,3,14
Interactions,,2,14
Supervisory Signals,,1,14
Representations,,1,14
Users,,1,14
Items,,1,14
Overfitting,,2,14
User,,1,14
