Source,Target,Type,Text Index
Computer Vision,Sports,APPLIEDTO,5
Sports,Coaches,PARTOF,5
Sports,Scouts,PARTOF,5
Sports,Media Analysts,PARTOF,5
Game Statistics,Coaches,USEDBY,5
Game Statistics,Scouts,USEDBY,5
Game Statistics,Media Analysts,USEDBY,5
Pitchf/X,Pitch Speed,RECORDS,5
Pitchf/X,Pitch Movement,RECORDS,5
Statcast,Pitch Velocity,RECORDS,5
Statcast,Pitch Type,RECORDS,5
Mlb-Youtube Dataset,Broadcast Baseball Videos,CONTAINS,5
Mlb-Youtube Dataset,Densely Annotated Frames,CONTAINS,5
Mlb-Youtube Dataset,Activity Recognition,USEDFOR,5
Mlb-Youtube Dataset,Activity Detection,USEDFOR,5
High-Speed Cameras,Mlb-Youtube Dataset,USEDIN,5
Radar,Mlb-Youtube Dataset,USEDIN,5
Convolutional Neural Networks (Cnns),Activity Recognition,USEDFOR,5
Two-Stream Cnn Architectures,Activity Recognition,USEDFOR,5
3D Xyt Convolutional Models,Activity Recognition,USEDFOR,5
Kinetics Dataset,Convolutional Neural Networks (Cnns),USEDFORTRAINING,5
Thumos Dataset,Convolutional Neural Networks (Cnns),USEDFORTRAINING,5
Os,Activitynet,USED_IN,5
Activitynet,Lstms,USED_IN,5
Activitynet,Max Pooling,USED_IN,5
Mlb - Youtube Dataset,3D Cnns,USED_IN,5
Mlb - Youtube Dataset,Rnns,USED_IN,5
Televised Baseball Games,Single Camera Perspective,FEATURES,5
Single Camera Perspective,Various Activities,VIEWED_BY,5
Various Activities,Swinging A Bat,EXAMPLE_OF,5
Various Activities,Bunting,EXAMPLE_OF,5
Thumos,Dataset,COMPARED_TO,5
Activitynet,Dataset,COMPARED_TO,5
Ball,Strike,CONTRAST,5
Swing,Ball,CAN_DEFINE,5
Swing,Strike,CAN_DEFINE,5
Umpire,Strike,SIGNALS,5
Batter,Swing,CAN_PERFORM,5
Catcher,Strike,INVOLVED_IN,5
Figure 3,Ball,ILLUSTRATES,5
Figure 4,Strike,ILLUSTRATES,5
"4,290 Clips",Segmented Video Analysis,USED_FOR,5
No Activity,Ball,IS_AN_EXAMPLE_OF,5
No Activity,Strike,IS_AN_EXAMPLE_OF,5
No Activity,Swing,IS_AN_EXAMPLE_OF,5
No Activity,Hit,IS_AN_EXAMPLE_OF,5
No Activity,Foul,IS_AN_EXAMPLE_OF,5
No Activity,In Play,IS_AN_EXAMPLE_OF,5
No Activity,Bunt,IS_AN_EXAMPLE_OF,5
No Activity,Hit By Pitch,IS_AN_EXAMPLE_OF,5
Cnn,Video_Features,GENERATES,5
Metafood Challenge,3D Food Modeling,FOCUSES_ON,6
Computer Vision,Dietary Oversight,USED_FOR,6
Computer Vision,Nutrition Tracking,USED_FOR,6
3D Food Modeling,2D Images,RECONSTRUCTS_FROM,6
Checkerboard,Size Calibration,USED_FOR,6
3D Food Modeling,Portion Estimation,IMPROVES,6
3D Food Modeling,Nutritional Tracking,IMPROVES,6
Emerging Field,Pressing Demand,RESPONDS_TO,6
Emerging Field,Precise And Scalable Techniques,FOCUSES_ON,6
Precise And Scalable Techniques,Estimating Food Portions,USED_FOR,6
Estimating Food Portions,Monitoring Nutritional Consumption,PART_OF,6
Monitoring Nutritional Consumption,Healthier Eating Behaviors,PROMOTES,6
Monitoring Nutritional Consumption,Health Issues Linked To Diet,ADDRESSES,6
3D Models Of Food,Various Visual Inputs,DERIVED_FROM,6
3D Models Of Food,Multiple Views And Single Perspectives,INCLUDES,6
3D Models Of Food,"Food Morphology, Texture, And Illumination",CONSIDERS,6
3D Food Reconstruction Technologies,Diverse Applications,APPLICABLE_TO,6
Diverse Applications,Individual Health Tracking,INCLUDES,6
Diverse Applications,Extensive Nutritional Investigations,INCLUDES,6
Conventional Methods For Assessing Diet,24-Hour Recall,INCLUDES,6
Conventional Methods For Assessing Diet,Food Frequency Questionnaires (Ffqs),INCLUDES,6
24-Hour Recall,Manual Data Entry,RELIES_ON,6
24-Hour Recall,Inaccuracies,PRONE_TO,6
24-Hour Recall,Burdensome,CAN_BE,6
Applications,Personal Health Management,TRANSFORMS,6
Applications,Nutritional Research,TRANSFORMS,6
Applications,Food Industry,TRANSFORMS,6
Simultaneous Localization And Mapping ( Slam ),Food Volume Estimation,USED_FOR,6
Dense Reconstruction,Food Volume Estimation,ALSO_PERFORMS,6
Model - Based Approaches,Food Volume Estimation,USED_FOR,6
Predefined Shapes And Templates,Model - Based Approaches,PART_OF,6
Template Matching Approaches,Food Volume Estimation,USED_FOR,6
3D Food Meshes,Template Matching Approaches,USED_AS,6
Depth Camera - Based Approaches,Food Volume Estimation,USED_FOR,6
Depth Cameras,Depth Camera - Based Approaches,USES,6
Depth Cameras,Depth Maps,PRODUCES,6
Depth Maps,Voxel Representation,USED_TO_CREATE,6
Deep Learning Approaches,Food Volume Estimation,USED_FOR,6
Neural Networks,Deep Learning Approaches,USES,6
Regression Networks,Deep Learning Approaches,USES,6
Regression Networks,Energy Value Of Food,ESTIMATES,6
Regression Networks,Energy Distribution Map,USES,6
Food Item,3D Model,REPRESENTED_BY,6
Food Item,Video Recording,ACCOMPANIED_BY,6
Street,Protest,LOCATION,7
Noun - Noun Compound Interpretation,Theoretical Linguistics,STUDIED_IN,7
Noun - Noun Compound Interpretation,Computational Linguistics,STUDIED_IN,7
Noun - Noun Compound Interpretation,Psycholinguistics,STUDIED_IN,7
Noun - Noun Compound Interpretation,Machine Learning,TREATED_AS,7
Machine Learning,Maximum Entropy,USES,7
Machine Learning,Support Vector Machines,USES,7
Machine Learning,Neural Networks,USES,7
Noun - Noun Compound Interpretation,Wordnet,UTILIZES,7
Noun - Noun Compound Interpretation,Word Embeddings,UTILIZES,7
Noun - Noun Compound Interpretation,Transfer Learning,APPLIED,7
Noun - Noun Compound Interpretation,Multi - Task Learning,APPLIED,7
Tl,Semantic_Nlp,APPLIED_TO,7
Mtl,Semantic_Nlp,APPLIED_TO,7
Tl,Compound_Interpretation,USED_FOR,7
Mtl,Compound_Interpretation,USED_FOR,7
Mtl,Generalization,ENHANCES,7
Domain_Specific_Details,Generalization,SOURCE_OF,7
Tl,Relation_Prediction,USED_FOR,7
Mtl,Relation_Prediction,USED_FOR,7
Tl,Regularization,SERVES_AS,7
Mtl,Regularization,SERVES_AS,7
Tl,Embedding_Layer,APPLIED_TO,7
Mtl,Embedding_Layer,APPLIED_TO,7
Tl,Accuracy,IMPROVES,7
Mtl,Accuracy,IMPROVES,7
Tl,F1_Scores,IMPROVES,7
Mtl,F1_Scores,IMPROVES,7
Tl,Infrequent_Relations,PREDICTS,7
Mtl,Infrequent_Relations,PREDICTS,7
Skewed_Dataset,Infrequent_Relations,CHARACTERISTIC_OF,7
Single_Task_Learning,Accuracy,COMPARED_TO,7
Single_Task_Learning,F1_Scores,COMPARED_TO,7
Fares_Dataset,Noun_Noun_Compounds,CONTAINS,7
Fares_Dataset,Compound_Relations,CONTAINS,7
Noun_Noun_Compounds,Compound_Relations,COMPOSED_OF,7
Some,Relations,IS_A,7
Relations,Noun - Noun Compounds,CAN_DEFINE,7
Relations,Interpretation,ARE_RELATED_TO,7
Interpretation,"Fixed, Predetermined Set Of Relations",CAN_BE_INTERPRETED_USING,7
Interpretation,Paraphrasing,CAN_BE_ACHIEVED_THROUGH,7
Interpretation,Classification Task,FRAMING,7
Classification Task,Machine Learning Models,CAN_BE_ADDRESSED_BY_USING,7
Machine Learning Models,Nearest Neighbor Classifiers,INCLUDE,7
Nearest Neighbor Classifiers,Semantic Similarity,USE,7
Semantic Similarity,Lexical Resources,BASED_ON,7
Machine Learning Models,Kernel - Based Methods,INCLUDE,7
Kernel - Based Methods,Svms,IS,7
Svms,Lexical And Relational Features,USE,7
Machine Learning Models,Maximum Entropymodels,INCLUDE,7
Maximum Entropymodels,Lexical And Surface Form Features,INCORPORATE,7
Machine Learning Models,Neural Networks,INCLUDE,7
Neural Networks,Word Embeddings,RELY_ON,7
Neural Networks,Path Embeddings,COMBINE,7
Studies,Dataset,HAVE_UTILIZED,7
Tl,Nlp Tasks,HAVE_BEEN_APPLIED_TO,7
Mtl,Nlp Tasks,HAVE_BEEN_APPLIED_TO,7
Nlp Tasks,Named Entity Recognition,INCLUDE,7
Nlp Tasks,Semantic Labeling,INCLUDE,7
Nlp Tasks,Sentence - Level Sentimentclassification,INCLUDE,7
Nlp Tasks,Super - Tagging,INCLUDE,7
Nlp Tasks,Chunking,INCLUDE,7
Nlp Tasks,Semantic Dependency Parsing,INCLUDE,7
Tl,Tasks Involved,IS_RELATED_TO,7
Mtl,Tasks Involved,IS_RELATED_TO,7
Data Distribution,Tasks Involved,AFFECTS,7
Semantic Relatedness,Tasks Involved,AFFECTS,7
Source Tasks,Tasks Involved,IS_PART_OF,7
Target Tasks,Tasks Involved,IS_PART_OF,7
Learning Trajectory,Tasks Involved,AFFECTS,7
Auxiliary Tasks,Learning Trajectory,IS_RELATED_TO,7
Main Tasks,Learning Trajectory,IS_RELATED_TO,7
Structural Similarity,Tasks Involved,AFFECTS,7
Nlp Tasks,Tasks Involved,IS_TYPE_OF,7
Noun - Noun Compounds Dataset,Semantic Annotations,IS_USED_FOR,7
Label Set,Semantic Annotations,INCLUDES,7
Relation Taxonomies,Semantic Annotations,INCLUDES,7
Dataset,Nombank,DERIVED_FROM,7
Dataset,Prague Czech - English Dependencytreebank 2. 0,DERIVED_FROM,7
Dataset,Type - Based Instances,CONTAINS,7
Type - Based Instances,Two - Word Compounds,IS_A,7
Dataset,Training Set,CONTAINS,7
Dataset,Development Set,CONTAINS,7
Dataset,Test Set,CONTAINS,7
Dataset,Table 1,DETAILS,7
Dataset,35 Pcedt Functors,CONTAINS,7
Dataset,182 Nombank Argument And Adjunct Relations,CONTAINS,7
Wisdom Of The Crowd,Crowd,COMPOSEDOF,8
Wisdom Of The Crowd,Expert,COMPAREDTO,8
Wisdom Of The Crowd,Predictions,PRODUCES,8
Predictions,Accuracy,DETERMINES,8
Wisdom Of The Crowd,Written Explanations,ENHANCES,8
Written Explanations,Justifications,SYNONYMFOR,8
Wikipedia,Volunteers,RELIESON,8
Wikipedia,Question - Answering,FACILITATES,8
Crowd,Crowd Behavior,EXHIBITS,8
Crowd Behavior,Rationality,CANINCLUDE,8
Collective Intelligence,Wisdom Of The Crowd,EXAMPLEOF,8
Research Community,Answering Platforms,STUDIES,8
Answering Platforms,Large Groups,UTILIZES,8
Large Groups,Individual Inputs,COMPRISED_OF,8
Individual Inputs,Crowd Wisdom,CONTRIBUTES_TO,8
Crowd Wisdom,Forecasts,ENABLES,8
Forecasts,Prediction,CONTAINS,8
Forecasts,Justification,ACCOMPANIED_BY,8
